ampl.tab 2 1
ALL_PLACES	PLACES	travel
EtDaMGH	NrthEnd	0
EtDaMGH	JhFKPML	0
EtDaMGH	BstnPbG	0
EtDaMGH	SmlAdmB	0
EtDaMGH	BstnPbL	0
EtDaMGH	BackBay	0
EtDaMGH	NwEngHM	0
EtDaMGH	ArnldAr	0
EtDaMGH	BstnOpH	0
EtDaMGH	Mrrt_CH	0
EtDaMGH	ThBstnP	0
EtDaMGH	CmmnwAM	0
EtDaMGH	ThPOoEG	0
EtDaMGH	DwnstCH	0
EtDaMGH	BstnAth	0
EtDaMGH	EtDaMGH	0
EtDaMGH	BstnWnr	0
EtDaMGH	MtrplWM	0
EtDaMGH	BstnBll	0
EtDaMGH	PirsPrk	0
EtDaMGH	AnaHACM	0
EtDaMGH	ArlngSC	0
EtDaMGH	LttBIaL	0
EtDaMGH	NwEnCJH	0
EtDaMGH	MFABstn	0
EtDaMGH	FrtWrrn	0
EtDaMGH	ThmpsnI	0
EtDaMGH	EmrldNc	0
EtDaMGH	HOME_NEU_END	0
BstnWnr	HOME_NEU_START	0
BstnWnr	FnwyPrk	0
BstnWnr	MsmofFA	0
BstnWnr	NrthEnd	0
BstnWnr	JhFKPML	0
BstnWnr	BstnPbG	0
BstnWnr	SmlAdmB	0
BstnWnr	BstnPbL	0
BstnWnr	BackBay	0
BstnWnr	NwEngHM	0
BstnWnr	ArnldAr	0
BstnWnr	BstnOpH	0
BstnWnr	Mrrt_CH	0
BstnWnr	ThBstnP	0
BstnWnr	CmmnwAM	0
BstnWnr	ThPOoEG	0
BstnWnr	DwnstCH	0
BstnWnr	BstnAth	0
BstnWnr	EtDaMGH	0
BstnWnr	BstnWnr	0
BstnWnr	MtrplWM	0
BstnWnr	BstnBll	0
BstnWnr	PirsPrk	0
BstnWnr	AnaHACM	0
BstnWnr	ArlngSC	0
BstnWnr	LttBIaL	0
BstnWnr	NwEnCJH	0
BstnWnr	MFABstn	0
BstnWnr	FrtWrrn	0
BstnWnr	ThmpsnI	0
BstnWnr	EmrldNc	0
BstnWnr	HOME_NEU_END	0
MtrplWM	HOME_NEU_START	0
MtrplWM	FnwyPrk	0
MtrplWM	MsmofFA	0
MtrplWM	NrthEnd	0
MtrplWM	JhFKPML	0
MtrplWM	BstnPbG	0
MtrplWM	SmlAdmB	0
MtrplWM	BstnPbL	0
MtrplWM	BackBay	0
MtrplWM	NwEngHM	0
MtrplWM	ArnldAr	0
MtrplWM	BstnOpH	0
MtrplWM	Mrrt_CH	0
MtrplWM	ThBstnP	0
MtrplWM	CmmnwAM	0
MtrplWM	ThPOoEG	0
MtrplWM	DwnstCH	0
MtrplWM	BstnAth	0
MtrplWM	EtDaMGH	0
MtrplWM	BstnWnr	0
MtrplWM	MtrplWM	0
MtrplWM	BstnBll	0
MtrplWM	PirsPrk	0
MtrplWM	AnaHACM	0
MtrplWM	ArlngSC	0
MtrplWM	LttBIaL	0
MtrplWM	NwEnCJH	0
MtrplWM	MFABstn	0
MtrplWM	FrtWrrn	0
MtrplWM	ThmpsnI	0
MtrplWM	EmrldNc	0
MtrplWM	HOME_NEU_END	0
BstnBll	HOME_NEU_START	0
BstnBll	FnwyPrk	0
BstnBll	MsmofFA	0
BstnBll	NrthEnd	0
BstnBll	JhFKPML	0
BstnBll	BstnPbG	0
BstnBll	SmlAdmB	0
BstnBll	BstnPbL	0
BstnBll	BackBay	0
BstnBll	NwEngHM	0
BstnBll	ArnldAr	0
BstnBll	BstnOpH	0
BstnBll	Mrrt_CH	0
BstnBll	ThBstnP	0
BstnBll	CmmnwAM	0
BstnBll	ThPOoEG	0
BstnBll	DwnstCH	0
BstnBll	BstnAth	0
BstnBll	EtDaMGH	0
BstnBll	BstnWnr	0
BstnBll	MtrplWM	0
BstnBll	BstnBll	0
BstnBll	PirsPrk	0
BstnBll	AnaHACM	0
BstnBll	ArlngSC	0
BstnBll	LttBIaL	0
BstnBll	NwEnCJH	0
BstnBll	MFABstn	0
BstnBll	FrtWrrn	0
BstnBll	ThmpsnI	0
BstnBll	EmrldNc	0
BstnBll	HOME_NEU_END	0
PirsPrk	HOME_NEU_START	0
PirsPrk	FnwyPrk	0
PirsPrk	MsmofFA	0
PirsPrk	NrthEnd	0
PirsPrk	JhFKPML	0
PirsPrk	BstnPbG	0
PirsPrk	SmlAdmB	0
PirsPrk	BstnPbL	0
PirsPrk	BackBay	0
PirsPrk	NwEngHM	0
PirsPrk	ArnldAr	0
PirsPrk	BstnOpH	0
PirsPrk	Mrrt_CH	0
PirsPrk	ThBstnP	0
PirsPrk	CmmnwAM	0
PirsPrk	ThPOoEG	0
PirsPrk	DwnstCH	0
PirsPrk	BstnAth	0
PirsPrk	EtDaMGH	0
PirsPrk	BstnWnr	0
PirsPrk	MtrplWM	0
PirsPrk	BstnBll	0
PirsPrk	PirsPrk	0
PirsPrk	AnaHACM	0
PirsPrk	ArlngSC	0
PirsPrk	LttBIaL	0
PirsPrk	NwEnCJH	0
PirsPrk	MFABstn	0
PirsPrk	FrtWrrn	0
PirsPrk	ThmpsnI	0
PirsPrk	EmrldNc	0
PirsPrk	HOME_NEU_END	0
AnaHACM	HOME_NEU_START	0
AnaHACM	FnwyPrk	0
AnaHACM	MsmofFA	0
AnaHACM	NrthEnd	0
AnaHACM	JhFKPML	0
AnaHACM	BstnPbG	0
AnaHACM	SmlAdmB	0
AnaHACM	BstnPbL	0
AnaHACM	BackBay	0
AnaHACM	NwEngHM	0
AnaHACM	ArnldAr	0
AnaHACM	BstnOpH	0
AnaHACM	Mrrt_CH	0
AnaHACM	ThBstnP	0
AnaHACM	CmmnwAM	0
AnaHACM	ThPOoEG	0
AnaHACM	DwnstCH	0
AnaHACM	BstnAth	0
AnaHACM	EtDaMGH	0
AnaHACM	BstnWnr	0
AnaHACM	MtrplWM	0
AnaHACM	BstnBll	0
AnaHACM	PirsPrk	0
AnaHACM	AnaHACM	0
AnaHACM	ArlngSC	0
AnaHACM	LttBIaL	0
AnaHACM	NwEnCJH	0
AnaHACM	MFABstn	0
AnaHACM	FrtWrrn	0
AnaHACM	ThmpsnI	0
AnaHACM	EmrldNc	0
AnaHACM	HOME_NEU_END	0
ArlngSC	HOME_NEU_START	0
ArlngSC	FnwyPrk	0
ArlngSC	MsmofFA	0
ArlngSC	NrthEnd	0
ArlngSC	JhFKPML	0
ArlngSC	BstnPbG	0
ArlngSC	SmlAdmB	0
ArlngSC	BstnPbL	0
ArlngSC	BackBay	0
ArlngSC	NwEngHM	0
ArlngSC	ArnldAr	0
ArlngSC	BstnOpH	0
ArlngSC	Mrrt_CH	0
ArlngSC	ThBstnP	0
ArlngSC	CmmnwAM	0
ArlngSC	ThPOoEG	0
ArlngSC	DwnstCH	0
ArlngSC	BstnAth	0
ArlngSC	EtDaMGH	0
ArlngSC	BstnWnr	0
ArlngSC	MtrplWM	0
ArlngSC	BstnBll	0
ArlngSC	PirsPrk	0
ArlngSC	AnaHACM	0
ArlngSC	ArlngSC	0
ArlngSC	LttBIaL	0
ArlngSC	NwEnCJH	0
ArlngSC	MFABstn	0
ArlngSC	FrtWrrn	0
ArlngSC	ThmpsnI	0
ArlngSC	EmrldNc	0
ArlngSC	HOME_NEU_END	0
LttBIaL	HOME_NEU_START	0
LttBIaL	FnwyPrk	0
LttBIaL	MsmofFA	0
LttBIaL	NrthEnd	0
LttBIaL	JhFKPML	0
LttBIaL	BstnPbG	0
LttBIaL	SmlAdmB	0
LttBIaL	BstnPbL	0
LttBIaL	BackBay	0
LttBIaL	NwEngHM	0
LttBIaL	ArnldAr	0
LttBIaL	BstnOpH	0
LttBIaL	Mrrt_CH	0
LttBIaL	ThBstnP	0
LttBIaL	CmmnwAM	0
LttBIaL	ThPOoEG	0
LttBIaL	DwnstCH	0
LttBIaL	BstnAth	0
LttBIaL	EtDaMGH	0
LttBIaL	BstnWnr	0
LttBIaL	MtrplWM	0
LttBIaL	BstnBll	0
LttBIaL	PirsPrk	0
LttBIaL	AnaHACM	0
LttBIaL	ArlngSC	0
LttBIaL	LttBIaL	0
